first_name,last_name,company_name,address,city,province,postal,phone1,email,web,exam_1,exam_2,exam_3,Dept,transcode
Jannette,Pedder,"Reif, W Michael Esq",73 Madison Ave,Vancouver,BC,V6L 2V9,604-953-5335,jpedder@pedder.com,http://www.reifwmichaelesq.com,59,77,94,PHY,Code006
Margo,Rand,Muscle Bound Bindery,344 Lyndon St,Concord,ON,L4K 1J7,905-781-3868,margo@rand.org,http://www.muscleboundbindery.com,91,86,81,POL,Code069
Dahlia,Benett,Doco School Empl Fed Crdt Un,3986 Home Life,Alma,QC,G8B 1K7,418-344-9993,dahlia_benett@aol.com,http://www.docoschoolemplfedcrdtun.com,74,60,68,MATH,Code054
Dominga,Mckeon,Scott & Murphy Inc,68 Dd N #1,Trois-Rivieres,QC,G8T 7G3,819-627-1581,dominga_mckeon@yahoo.com,http://www.scottmurphyinc.com,59,82,66,PHY,Code083
Hollis,Keomuangtai,Amsterdam News,27 7th St,Keswick,ON,L4P 1V3,905-928-5294,hollis.keomuangtai@cox.net,http://www.amsterdamnews.com,68,63,54,PHY,Code002
Carry,Ziller,Hatboro Delivery Service,8 Maynesboro St,Strathroy,ON,N7G 3H9,519-847-8783,carry@cox.net,http://www.hatborodeliveryservice.com,98,59,69,MATH,Code068
Bong,Fears,Cabot Safety Corp Aorx Center,7 State St #1,Pierrefonds,QC,H9H 3C8,514-308-1992,bfears@fears.org,http://www.cabotsafetycorpaorxcenter.com,80,92,62,BIO,Code047
Yolande,Staiano,Williams Jamal Ltd,21 N 14th St,Orleans,ON,K1C 3C7,613-700-7712,yolande_staiano@gmail.com,http://www.williamsjamalltd.com,79,72,68,PHY,Code067
Lottie,Hegdahl,Management Protection Services,45 W 21st St,Unionville,ON,L3R 2H1,905-638-1034,lottie_hegdahl@aol.com,http://www.managementprotectionservices.com,62,74,66,BIO,Code037
Jose,Kylish,Nicks Printing,93 Law Dr,Pierrefonds,QC,H9J 1W6,514-211-3774,jose.kylish@aol.com,http://www.nicksprinting.com,72,84,55,POL,Code059
Tuyet,Abramovitz,"Gibbard, H Frank Iii",976 Cozycroft Ave,Richmond Hill,ON,L4E 4P3,905-790-7938,tuyet.abramovitz@abramovitz.com,http://www.gibbardhfrankiii.com,68,91,74,POL,Code040
Pearline,Provenzano,Information Marketing Svc Inc,611 S 2nd St,Concord,ON,L4K 1V4,905-734-9102,pearline.provenzano@provenzano.org,http://www.informationmarketingsvcinc.com,84,58,100,MATH,Code099
Robt,Hankison,Joseph Notarianni & Co,3780 Ronson Rd,Quebec,QC,G1L 4H3,418-874-8104,robt_hankison@cox.net,http://www.josephnotariannico.com,100,73,99,PHY,Code074
Shawnee,Kesten,N Amercn Min & Quar Equip Inc,5 W Irving Park Rd,Big Ridge,NS,B1K 1X8,902-208-1038,shawnee@yahoo.com,http://www.namercnminquarequipinc.com,95,61,61,PHY,Code018
Lacresha,Quinones,John Drew Theater Of Gld Hall,48 Bernardo Cent,Vaudreuil-Dorion,QC,J7V 5V8,450-213-1080,lacresha@hotmail.com,http://www.johndrewtheaterofgldhall.com,99,55,67,PHY,Code100
Basilia,Vinroe,Ariz Association Of Life Und,45 S Wells Ave,Quebec,QC,G1H 1A6,418-386-6120,basilia.vinroe@gmail.com,http://www.arizassociationoflifeund.com,62,78,67,BIO,Code054
Aleisha,Areizaga,Hi Port Distribtg Inc,960 Deming Way,Quebec,QC,G1C 5G2,418-408-1640,aareizaga@hotmail.com,http://www.hiportdistribtginc.com,79,70,99,POL,Code100
Frank,Tryninewski,Interlink Marketing Inc,462 2nd St,Prince Albert,SK,S6V 6E5,306-653-1772,ftryninewski@gmail.com,http://www.interlinkmarketinginc.com,93,79,58,PHY,Code041
Ria,Steinhorst,D H Auto Equip Inc,269 Commercial Dr,Jonquiere,QC,G7S 2S3,418-319-1374,ria.steinhorst@steinhorst.com,http://www.dhautoequipinc.com,78,52,67,BIO,Code071
Carla,Kallenberger,Mcginness & Shaw,8 Commercial Blvd #9,Hanover,ON,N4N 1Z7,519-646-7797,carla@aol.com,http://www.mcginnessshaw.com,67,62,58,PHY,Code096
Lashanda,Skahan,Monogram Co,739 Stockton Ave,Gray Rapids,NB,E9B 1G6,506-497-2698,lashanda.skahan@aol.com,http://www.monogramco.com,85,87,78,BIO,Code016
Jarod,Catalina,Industrial Precision Corp,60 Sunrise Ave,North Bay,ON,P1B 2L4,705-369-2146,jcatalina@aol.com,http://www.industrialprecisioncorp.com,69,83,89,MATH,Code022
Leoma,Rabago,"Curtis, Martin L Dds",575 Washington St,Nanaimo,BC,V9R 6W5,250-810-7815,leoma.rabago@hotmail.com,http://www.curtismartinldds.com,87,65,61,MATH,Code036
Yasuko,Greeves,Plant,4634 Anania Dr,Vernon,BC,V1B 3Z4,250-891-6910,ygreeves@cox.net,http://www.plant.com,,59,63,POL,Code085
Jimmie,Snelling,Tri Lakes Chamber Of Commerce,24 Sw Bridgeport Rd,Oakville,ON,L6J 7H9,905-772-1416,jimmie.snelling@gmail.com,http://www.trilakeschamberofcommerce.com,58,88,54,PHY,Code015
Titus,Dugre,American Lung Assoc,419 N Dixboro Rd #8,Gatineau,QC,J9J 0V4,819-983-1846,titus.dugre@dugre.org,http://www.americanlungassoc.com,95,63,,PHY,Code090
Joanne,Teoh,"Rever, Irwin S Esq",1 W Sierra Madre Blvd #9985,St Catharines,ON,L2M 1R4,905-219-6895,joanne@yahoo.com,http://www.reverirwinsesq.com,62,55,64,POL,Code021
Suzi,Groom,"Comisky, James L",9 W Jackson Blvd,Surrey,BC,V3S 7P4,604-700-2946,suzi.groom@groom.org,http://www.comiskyjamesl.com,78,59,80,MATH,Code026
Denny,Amazan,Pony Express National Memorial,4974 Rockburn Hill Rd #3,Surrey,BC,V4A 8M9,604-239-4105,denny@amazan.com,http://www.ponyexpressnationalmemorial.com,65,84,54,MATH,Code059
Willie,Coughlan,Brooktronics Engineering Corp,8545 S Westshore Blvd,Cantley,QC,J8V 3K1,819-869-6389,willie@aol.com,http://www.brooktronicsengineeringcorp.com,73,,94,BIO,Code007
Margurite,Brake,"Moyer, David W Esq",258 S Ash Ave,Amherstburg,ON,N9V 1S8,519-476-5983,margurite.brake@yahoo.com,http://www.moyerdavidwesq.com,54,89,60,PHY,Code040
Arlen,Romack,"Whitehurst, William O Jr",1 W Green Bay St,Saint John,NB,E2K 3R6,506-218-3036,arlen.romack@yahoo.com,http://www.whitehurstwilliamojr.com,83,80,79,MATH,Code048
Shaniqua,Corna,"Durley, Colly J Esq",8 Sylvan Ave,North York,ON,M3H 5X6,416-573-9093,shaniqua@yahoo.com,http://www.durleycollyjesq.com,63,77,82,PHY,Code035
William,Boccard,Dubosar & Davidson Pa,9 Clove Rd,Pointe-aux-Trembles,QC,H1B 4R4,514-606-4631,william@gmail.com,http://www.dubosardavidsonpa.com,62,71,81,POL,Code018
Silva,Riviere,Nimco Corp,10 Canal St,Pierrefonds,QC,H8Y 2A9,514-319-4125,silva.riviere@riviere.org,http://www.nimcocorp.com,67,95,75,POL,Code001
Gearldine,Haberle,Robert Glen Distributing Co,62 N 3rd St,Calgary,AB,T2J 0S5,403-810-3712,gearldine_haberle@hotmail.com,http://www.robertglendistributingco.com,93,99,57,MATH,Code012
Azalee,Aja,Interior Alternative,2607 Market St,Chateauguay,QC,J6J 3J8,450-515-9694,azalee.aja@cox.net,http://www.interioralternative.com,62,80,82,PHY,Code094
Kimbery,Plikerd,"Bain, James W Esq",62 15th Ave #63,Duncan,BC,V9L 2E9,250-504-9388,kimbery.plikerd@cox.net,http://www.bainjameswesq.com,92,61,58,POL,Code057
Ricarda,Kratt,"Hersh, Peter S Md",1 Clairemont Mesa Blvd,New Glasgow,NS,B2H 3Y5,902-614-2197,rkratt@yahoo.com,http://www.hershpetersmd.com,74,68,51,PHY,Code007
Macy,Massay,C H Fenstermaker & Assocs Inc,6 N Water St,Dauphin,MB,R7N 2C7,204-656-8450,macy@hotmail.com,http://www.chfenstermakerassocsinc.com,63,55,64,PHY,Code054
Carol,Normington,Westwood Specialties,1 S Kresson St,Alma,QC,G8E 1G2,418-540-2207,carol@gmail.com,http://www.westwoodspecialties.com,79,87,95,BIO,Code053
Blythe,Czaplinski,Ebw Inc Enterprise Brass Works,4 S 4th St,Calgary,AB,T2V 2M5,403-775-4053,blythe_czaplinski@czaplinski.com,http://www.ebwincenterprisebrassworks.com,51,60,50,MATH,Code003
Tanesha,Tesseneer,Alex Fries & Bros Inc,326 Witherspoon St,Etobicoke,ON,M9R 2W5,416-568-3388,tanesha_tesseneer@hotmail.com,http://www.alexfriesbrosinc.com,81,71,97,POL,Code027
Yaeko,Orndoff,Holcombe Armature Co,66 Hoffman St,St Thomas,ON,N5P 2E5,519-625-4433,yaeko_orndoff@orndoff.org,http://www.holcombearmatureco.com,50,100,66,BIO,Code085
Broderick,Lorenz,"Frascella, Thomas P Esq",185 Davis St,Saskatoon,SK,S7N 3M6,306-285-1574,broderick_lorenz@hotmail.com,http://www.frascellathomaspesq.com,51,62,93,PHY,Code022
Twila,Shadle,"Marks, Seymour Esq",20 Simpson Ferry Rd,Victoria,BC,V8Y 1H4,250-862-6746,tshadle@shadle.com,http://www.marksseymouresq.com,97,72,75,PHY,Code062
Sarina,Pead,Burgess Manning Inc,7821 16th St Nw,Ajax,ON,L1S 1S7,905-696-6221,spead@cox.net,http://www.burgessmanninginc.com,71,60,53,PHY,Code051
Candra,Peets,Gator Supply & Equipment Inc,9 Pulaski Park Dr #7,North Bay,ON,P1B 2V6,705-799-1235,candra@hotmail.com,http://www.gatorsupplyequipmentinc.com,54,78,76,PHY,Code044
Von,Aprigliano,"Heller, Tom A Esq",63 Baronne St,Port Moody,BC,V3H 1E8,604-986-3233,von@aol.com,http://www.hellertomaesq.com,70,98,90,BIO,Code097
Natalya,Verso,Rose Cooper & English,74 Chestnut St,Kitchener,ON,N2A 1S3,519-736-9305,natalya_verso@yahoo.com,http://www.rosecooperenglish.com,58,95,94,MATH,Code034
Stanton,Rigazio,Maxons Restorations Inc,4 Smith St #5,North York,ON,M3M 2A4,416-801-7398,srigazio@rigazio.org,http://www.maxonsrestorationsinc.com,52,96,71,POL,Code078
Dona,Larner,Birmingham Historical Society,4298 E Drinker St,York,ON,M6M 1V5,416-884-9104,dona@hotmail.com,http://www.birminghamhistoricalsociety.com,89,60,57,MATH,Code015
Cortney,Choice,"Schulman, Richard J Esq",80 S 33rd Pl,Greenfield Park,QC,J4V 3G8,450-339-6016,cortney.choice@choice.com,http://www.schulmanrichardjesq.com,75,73,93,MATH,Code018
Ira,Betterton,Andersen Consulting,935 S Padre Island Dr,Halifax,NS,B3K 3E4,902-240-7029,ira.betterton@yahoo.com,http://www.andersenconsulting.com,51,55,61,MATH,Code049
Vanna,Pickle,Phipps & Bird,3 B Main #117,Newmarket,ON,L3Y 3M4,905-309-4565,vanna_pickle@aol.com,http://www.phippsbird.com,98,95,75,POL,Code046
Bo,Sabota,Land Engineering & Surv Co Inc,779 Moore St,Winnipeg,MB,R3R 2Z5,204-210-4967,bo_sabota@sabota.com,http://www.landengineeringsurvcoinc.com,92,88,57,POL,Code054
Nathalie,Corners,Boldt Carlisle & Smith Cpa,14 Van Buren St,Peterborough,ON,K9H 4B6,705-736-4801,nathalie_corners@corners.org,http://www.boldtcarlislesmithcpa.com,64,88,81,BIO,Code030
Rodney,Lockamy,"Schultz, Barry J Esq",7 N Us Highway 67 #96,Ottawa,ON,K1S 2E4,613-273-5773,rodney_lockamy@aol.com,http://www.schultzbarryjesq.com,96,65,59,POL,Code095
Elena,Hairr,"Reed, Crystal Md",31 Mechanic St #9839,Stephenville,NL,A2N 2N4,709-399-4807,ehairr@hotmail.com,http://www.reedcrystalmd.com,71,84,58,MATH,Code030
Blossom,Kraatz,Vic Firth Inc,881 Route 38,North York,ON,M4A 2A6,416-631-1863,blossom_kraatz@kraatz.org,http://www.vicfirthinc.com,70,72,83,PHY,Code058
Loreen,Griepentrog,A J Cohen Distributor Inc,6 Monard Dr,Orleans,ON,K1C 2E5,613-684-4467,loreen_griepentrog^aol.com,http://www.ajcohendistributorinc.com,67,62,57,PHY,Code094
Tayna,Keirnan,"Hartz, J Ernest Esq",18 Cowesett Ave,Barrie,ON,L4N 5C5,705-655-5936,tayna_keirnan@gmail.com,http://www.hartzjernestesq.com,99,72,68,POL,Code027
Nieves,Planty,"Swanson, Dennis V Esq",684 Albion Rd,Peterborough,ON,K9H 3K7,705-616-5386,nplanty@gmail.com,http://www.swansondennisvesq.com,78,78,69,BIO,Code091
Glenn,Robinault,"Leikin, James",8700 S Jefferson Rd #676,Lachine,QC,H8S 3A8,514-330-5479,glenn.robinault@cox.net,http://www.leikinjames.com,90,77,55,BIO,Code060
Julianna,Racer,Cycle Motion Inc,4407 Chestnut Ridge Dr,Saint John,NB,E2K 5L7,506-752-6097,jracer@cox.net,http://www.cyclemotioninc.com,68,57,75,MATH,Code072
Ashton,Nitchals,"Tirone, Anthony R Esq",13 Midway Pl,Oakville,ON,L6H 5G1,905-725-6769,ashton@cox.net,http://www.tironeanthonyresq.com,80,82,83,PHY,Code041
Shaun,Scovil,Stowe Away Lodge,253 Hamilton Ave #1684,Pickering,ON,L1W 2P9,905-907-6615,shaun_scovil@aol.com,http://www.stoweawaylodge.com,66,52,67,POL,Code076
Long,Shintaku,Georgetown Agency,8 W 41st Ave,Blainville,QC,J7C 2R9,450-771-5010,long.shintaku@shintaku.org,http://www.georgetownagency.com,80,63,80,PHY,Code045
Vinnie,Meir,Halbar Enterprises Whol Clthng,559 Bridge Plz,Etobicoke,ON,M8Y 1G5,416-862-7028,vmeir@meir.com,http://www.halbarenterpriseswholclthng.com,86,65,50,PHY,Code016
Lucia,Flipp,Days Inn,196 Touhy Ave,Scarborough,ON,M1E 3L6,416-870-8070,lucia@aol.com,http://www.daysinn.com,72,99,97,BIO,Code033
Corazon,Ivaska,Ansonia Records Inc,6 W Lincoln Ave,Saskatoon,SK,S7K 3K7,306-333-8933,corazon@ivaska.org,http://www.ansoniarecordsinc.com,77,67,50,POL,Code089
Jaime,Perugini,Bei Motion Systems Co Inc,7071 E 7th St #56,Verdun,QC,H4G 1X4,514-950-4495,jaime_perugini@perugini.com,http://www.beimotionsystemscoinc.com,55,81,73,BIO,Code037
Miriam,Stakes,Sign Magic,784 Packerland Dr,Burlington,ON,L7L 5E8,905-441-5009,miriam.stakes@yahoo.com,http://www.signmagic.com,72,82,57,BIO,Code083
Vallie,Nigl,Can Lines Inc,7823 N 36th Ave,North Vancouver,BC,V7H 2J2,604-848-3170,vallie@yahoo.com,http://www.canlinesinc.com,91,92,57,BIO,Code055
Sheldon,Isachsen,"Young, Charles R Esq",35 Milnor St,Valley,NS,B6L 3K5,902-330-7314,sheldon@isachsen.org,http://www.youngcharlesresq.com,68,57,58,POL,Code073
Nickie,Balonek,Mcinerney Communications,7 Saint Nicholas Ave,North Vancouver,BC,V7J 3P8,604-556-1080,nickie.balonek@balonek.com,http://www.mcinerneycommunications.com,53,59,75,PHY,Code005
Fletcher,Caneles,Hy Cite Corp,87 Spencerville Ct #2,Hamilton,ON,L8S 3V2,905-992-1637,fcaneles@caneles.com,http://www.hycitecorp.com,99,75,61,BIO,Code019
Rutha,Eisert,Quality Litho Printing,87 W 32nd St,Niagara Falls,ON,L2G 3H6,905-468-2503,rutha@eisert.com,http://www.qualitylithoprinting.com,61,55,90,PHY,Code009
Brandon,Geigel,Royal Title Service Inc,70 W Main St,Vancouver,BC,V5Z 3S8,604-940-9313,bgeigel@gmail.com,http://www.royaltitleserviceinc.com,93,65,84,POL,Code008
Franchesca,Lamme,Euorpean Pretzel Bakery,3208 W Touhy Ave,Charlottetown,PE,C1E 1W8,902-715-9684,franchesca_lamme@yahoo.com,http://www.euorpeanpretzelbakery.com,52,81,65,PHY,Code055
Lorriane,Naddeo,American Space Planners Inc,7 Airway Cir,Duncan,BC,V9L 2T9,250-544-1482,lorriane.naddeo@naddeo.org,http://www.americanspaceplannersinc.com,97,65,63,BIO,Code007
Asuncion,Berson,"Link, Andrew P",54 Whitaker Way,Reinfeld,MB,R6W 1K7,204-318-1929,aberson@aol.com,http://www.linkandrewp.com,52,62,77,POL,Code050
Georgiann,Hoerter,"Orava, Stephen J Esq",4945 Progress Dr,Grand-Mere,QC,G9T 3C3,819-632-2869,georgiann_hoerter@hoerter.com,http://www.oravastephenjesq.com,62,51,88,MATH,Code068
Hershel,Bultron,Kings Trophies & Engraving Co,658 W 30th St,London,ON,N5Z 1R6,519-844-4835,hershel_bultron@bultron.org,http://www.kingstrophiesengravingco.com,75,97,81,MATH,Code026
Chu,Collopy,Chiropractic Care Center,8 E 9mile Rd #697,Trois-Rivieres,QC,G8V 2J6,819-677-1206,chu@aol.com,http://www.chiropracticcarecenter.com,73,60,94,PHY,Code035
Bettina,Vosmus,Willamette Valley Walnuts Inc,7 Ryan Industrial Ct,Vancouver,BC,V6H 3Y2,604-752-9256,bettina@hotmail.com,http://www.willamettevalleywalnutsinc.com,91,100,66,PHY,Code063
Lynsey,Sport,"Ross, Donald J Esq",7 Mccrea St,Chilliwack,BC,V2P 6L6,604-525-6939,lynsey.sport@aol.com,http://www.rossdonaldjesq.com,60,57,52,BIO,Code004
Phil,Kuechler,Sequins International Inc,7 Mcwhorter Rd,Jonquiere,QC,G7X 2X4,418-940-4070,phil_kuechler@gmail.com,http://www.sequinsinternationalinc.com,82,67,50,MATH,Code062
Cordelia,Nicks,Pacific Valley Appraisal Svc,572 Simpson St,Georgetown,ON,L7G 2T4,905-975-4308,cnicks@nicks.org,http://www.pacificvalleyappraisalsvc.com,80,97,78,BIO,Code041
Georgeanna,Marrano,Allied Fine Furniture,3493 Camino Ruiz,Hamilton,ON,L8N 2V6,905-366-7378,gmarrano@gmail.com,http://www.alliedfinefurniture.com,94,74,60,PHY,Code014
Rosendo,Lanter,Howe & Hutton Ltd,2052 E Semoran Blvd,Regina,SK,S4N 5R4,306-700-6743,rosendo@hotmail.com,http://www.howehuttonltd.com,92,100,53,MATH,Code028
Jerilyn,Norcia,Jaqua & Wheatley Pc,9 Main St,Hanover,ON,N4N 2P6,519-978-7661,jerilyn@hotmail.com,http://www.jaquawheatleypc.com,87,77,71,PHY,Code048
Elfriede,Bakeley,Krei 800 Radio Station,538 Fayetteville Street Mall,Grand-Sault/Grand Falls,NB,E3Z 2K5,506-404-8558,ebakeley@bakeley.com,http://www.kreiradiostation.com,69,99,77,POL,Code004
Harris,Sheck,New Lans Corporation,9875 Sheafe Rd,Montreal,QC,H2H 1Z2,514-257-9319,harris@cox.net,http://www.newlanscorporation.com,83,70,77,MATH,Code070
Leonor,Beilinson,Lochaven Fed Svngs & Ln Assn,269 Distribution Way,Orleans,ON,K1C 1Z6,613-338-5158,leonor.beilinson@hotmail.com,http://www.lochavenfedsvngslnassn.com,59,81,76,POL,Code012
Terrilyn,Waska,"Corallino, Robert L Cpa",6 E Miraloma Ave,Gatineau,QC,J8M 2A5,819-670-6020,terrilyn_waska@hotmail.com,http://www.corallinorobertlcpa.com,98,79,56,POL,Code023
Maddie,Foulds,Sinclair Machine Products Inc,56 N Wood Ave #25,Montreal,QC,H2M 1W9,514-874-9519,maddie@hotmail.com,http://www.sinclairmachineproductsinc.com,67,79,93,PHY,Code093
Melynda,Anstead,Leader,3 Lee Dr #8435,Longueuil,QC,J4J 3E9,450-470-3593,melynda@hotmail.com,http://www.leader.com,63,92,65,BIO,Code053
Odette,Thigpen,Beauregard Federal Savings Bnk,1831 Everett Rd,Corner Brook,NL,A2H 2K1,709-744-4165,othigpen@thigpen.com,http://www.beauregardfederalsavingsbnk.com,84,68,98,MATH,Code100
Steffanie,Meinen,"Rosenblum, Donn D Esq",801 W Belmont Ave,Montreal,QC,H3C 5G9,514-964-9106,steffanie.meinen@cox.net,http://www.rosenblumdonndesq.com,80,77,93,PHY,Code045
Antonette,Stimac,"Kasprenski, Michael D Esq",61 N Westshore Blvd,Kitchener,ON,N2A 1S3,519-670-5269,antonette_stimac@stimac.org,http://www.kasprenskimichaeldesq.com,63,66,74,MATH,Code017
Thora,Daneker,Engravers,6 Old York Rd,Gatineau,QC,J8P 3A1,819-648-4049,tdaneker@daneker.com,http://www.engravers.com,87,96,99,PHY,Code036
Nada,Massanet,"Shastri, S R Md",80 Sw End Blvd,Surrey,BC,V3R 4L7,604-570-1494,nmassanet@yahoo.com,http://www.shastrisrmd.com,60,98,79,BIO,Code096
Ivette,Dills,South Texas Prod Splty Inc,7585 Calle De Industrias,Reserve Mines,NS,B1E 1G6,902-244-5318,idills@cox.net,http://www.southtexasprodspltyinc.com,93,80,59,POL,Code033
Devon,Delacerda,Kcon Inc,250 University Ave #9,Comox,BC,V9M 1T4,250-525-4631,devon@hotmail.com,http://www.kconinc.com,86,72,68,PHY,Code006
Lon,Tibbles,May W L Co Inc,78 Eastway Dr,Mississauga,ON,L5E 1B7,905-233-1845,lon.tibbles@cox.net,http://www.maywlcoinc.com,61,95,61,BIO,Code019
Tennie,Santanna,M A C Insurance Agency,196 Waterman Ave #1,Trois-Rivieres,QC,G8T 6A2,819-261-5496,tennie@aol.com,http://www.macinsuranceagency.com,61,90,61,POL,Code032
Fidelia,Vilven,Gto Lithographers Inc,9 Meridian St,Scarborough,ON,M1G 1V4,416-892-4321,fvilven@vilven.org,http://www.gtolithographersinc.com,78,85,64,POL,Code013
Michal,Gunyan,Physician Manager,9514 Mount Vernon Ave,Quebec,QC,G2B 4L7,418-399-6819,michal_gunyan@gunyan.com,http://www.physicianmanager.com,59,55,64,POL,Code001
Enola,Yandow,Branan Photography,7 Sw 5th Ave,Dartmouth,NS,B2W 6G3,902-539-1621,eyandow@cox.net,http://www.brananphotography.com,100,94,68,BIO,Code081
Meghann,Mamudoski,Hampton Inn South,7675 N Solano Dr,Hebbville,NS,B4V 7A2,902-348-8759,meghann@cox.net,http://www.hamptoninnsouth.com,60,67,85,MATH,Code049
Latanya,Mattia,Swissotel Boston,8229 S Washington Ave,Portage la Prairie,MB,R1N 3T4,204-649-9481,lmattia@yahoo.com,http://www.swissotelboston.com,59,75,73,POL,Code037
Chandra,Firlik,Preston Trucking Co Inc,686 S Dupont Hwy,Oshawa,ON,L1J 8H1,905-451-3719,chandra@gmail.com,http://www.prestontruckingcoinc.com,53,58,90,MATH,Code016
Barney,Dewer,"Anthony, Richard A Esq",88 Norris Ave #2,Bedford,NS,B4A 3V5,902-287-1148,bdewer@gmail.com,http://www.anthonyrichardaesq.com,69,95,100,POL,Code054
Ocie,Chreene,"Ellner, Harold J Md",72 W Hampden Ave,Orleans,ON,K1E 2C8,613-756-9548,ocie.chreene@aol.com,http://www.ellnerharoldjmd.com,90,76,88,PHY,Code021
Precious,Dubray,Martin Research Inc,846 Middletown Blvd #427,Orillia,ON,L3V 4N5,705-607-6992,precious.dubray@dubray.com,http://www.martinresearchinc.com,70,78,99,BIO,Code033
Sanda,Laramie,Trafalgar Corp,5181 N Alma School Rd,Dawson Creek,BC,V1G 1Y2,250-700-8923,slaramie@laramie.org,http://www.trafalgarcorp.com,54,61,60,PHY,Code056
Gaynell,Benavente,Life Guard Apparel,71 W Indian School Rd,Thunder Bay,ON,P7E 2H1,807-284-2501,gaynell@hotmail.com,http://www.lifeguardapparel.com,73,63,65,POL,Code063
Bethanie,Cutsforth,Four Star Label Co Inc,5 Victory Ave,Cambridge,ON,N1S 2S8,519-328-4250,bethanie_cutsforth@cutsforth.org,http://www.fourstarlabelcoinc.com,59,99,97,BIO,Code072
Yvette,Capiga,"Stier, Brian E Esq",33 Broadway St #8539,Big Valley,AB,T0J 0G0,403-919-6456,yvette.capiga@yahoo.com,http://www.stierbrianeesq.com,82,51,79,POL,Code084
Alana,Blackmon,Invest Financial Corp,96 Hook Rd,Scarborough,ON,M1B 2S5,416-386-8947,ablackmon@gmail.com,http://www.investfinancialcorp.com,52,52,94,MATH,Code069
Lakeesha,Beachel,"Olivera, Keith R Esq",1 Sw 72nd Ave,Chilliwack,BC,V2P 4W3,604-352-7502,lakeesha_beachel@aol.com,http://www.oliverakeithresq.com,75,86,64,PHY,Code010
Ailene,Friedman,Spector Thread Co,479 Commerce Park,Enterprise,NB,E7G 1M2,506-907-7068,ailene@yahoo.com,http://www.spectorthreadco.com,51,52,58,POL,Code085
Valene,Madson,H J Heinz Fld Ofc & Distrb Ctr,42 Main St,Alma,QC,G8B 7M5,418-646-3844,valene@madson.org,http://www.hjheinzfldofcdistrbctr.com,55,88,83,POL,Code020
Floyd,Bub,Southeastern Services Inc,4701 N Cocoa Blvd,Toronto,ON,M4V 2Z2,416-557-9767,fbub@bub.com,http://www.southeasternservicesinc.com,50,89,88,BIO,Code011
Josue,Hatherly,United States Chrome Corp Ca,755 135th St,Etobicoke,ON,M9W 1M9,416-337-2239,jhatherly@hatherly.org,http://www.unitedstateschromecorpca.com,88,92,85,POL,Code057
Johnathon,Wadden,De Osu Inc,4714 S Main St,Peterborough,ON,K9J 3N7,705-646-2781,johnathon_wadden@hotmail.com,http://www.deosuinc.com,68,78,53,POL,Code037
Kenneth,Drizin,Packaging Corp Of America,2 Scott Blvd,Amos,QC,J9T 1S3,819-999-6396,kdrizin@aol.com,http://www.packagingcorpofamerica.com,57,83,60,MATH,Code046
Leila,Titzer,D W Rogers Co,9 Constitution Ave,Calgary,AB,T2X 2M9,403-733-8035,leila_titzer@aol.com,http://www.dwrogersco.com,95,71,66,BIO,Code063
Marquetta,Quinlisk,Herregan Distributors Inc,2965 Lake Lizzie Dr,Mont-Royal,QC,H3R 1G3,514-950-3156,marquetta_quinlisk@aol.com,http://www.herregandistributorsinc.com,56,87,55,MATH,Code002
Annamae,Beliles,"Halberstadt, Bradley J Esq",8939 Merrill Field Dr,Burnaby,BC,V5G 4J9,604-877-2244,abeliles@gmail.com,http://www.halberstadtbradleyjesq.com,100,84,77,PHY,Code022
An,Dosal,Cpa Affiliates Inc,8 Leoole St #3,Drummondville,QC,J2B 3J9,819-324-8832,adosal@hotmail.com,http://www.cpaaffiliatesinc.com,100,75,60,POL,Code085
Karina,Cortesi,Video Monitoring Services,901 Broughton Ave #7,Saint-Bruno,QC,J3V 5S1,450-252-9611,karina_cortesi@hotmail.com,http://www.videomonitoringservices.com,61,53,76,BIO,Code081
Otis,Luong,Kinkos Copies,263 L St #1255,Simcoe,ON,N3Y 2P6,519-739-4515,oluong@gmail.com,http://www.kinkoscopies.com,96,78,66,BIO,Code029
Brendan,Kasperek,"Aebig, Sheena R Esq",84 L St #98,Coquitlam,BC,V3E 2W1,604-947-9315,brendan_kasperek@yahoo.com,http://www.aebigsheenaresq.com,66,93,64,PHY,Code044
Keith,Evartt,"Hamlet, Fred T Esq",973 El Camino Real,Derby Junction,NB,E1V 5B4,506-229-5393,kevartt@evartt.com,http://www.hamletfredtesq.com,80,61,88,BIO,Code086
Paulina,Arand,Americon Gazelle Factory Outlt,5652 Wisconsin Ave,Winnipeg,MB,R2J 2V1,204-636-8766,paulina_arand@cox.net,http://www.americongazellefactoryoutlt.com,66,64,55,MATH,Code004
Cherelle,Welschmeyer,Woodrow Taylor Homes Nv Ltd,2 Ramona Ave #6,Guelph,ON,N1E 5N9,519-322-9933,cherelle@hotmail.com,http://www.woodrowtaylorhomesnvltd.com,75,55,58,MATH,Code095
Percy,Neelon,Spiker Communications Inc,901 Highway 74,Rimouski,QC,G5L 1N6,418-537-1430,percy_neelon@cox.net,http://www.spikercommunicationsinc.com,99,54,98,POL,Code039
Margot,Storrs,"Wilson, Thomas M Iii",237 S French Ave,Woodbridge,ON,L4H 2L8,905-309-5010,mstorrs@cox.net,http://www.wilsonthomasmiii.com,86,100,96,PHY,Code017
